Rank,Name,Revenues,Profits
1,Wal-Mart Stores,469162,16999
2,Exxon Mobil,449886,44880
3,Chevron,233899,26179
4,Phillips 66,169551,4124
5,Berkshire Hathaway,162463,14824
6,Apple,156508,41733
7,General Motors,152256,6188
8,General Electric,146874,13641
9,Valero Energy,138286,2083
10,Ford Motor,134252,5665
11,AT&amp;T,127434,7264
12,Fannie Mae,127230,17220
13,CVS Caremark,123133,3876.9
14,McKesson,122734,1403
15,Hewlett-Packard,120357,-12650
16,Verizon Communications,115846,875
17,UnitedHealth Group,110618,5526
18,J.P. Morgan Chase &amp; Co.,108184,21284
19,Cardinal Health,107552,1069
20,International Business Machines,104507,16604
21,Bank of America Corp.,100078,4188
22,Costco Wholesale,99137,1709
23,Kroger,96751.3,1496.5
24,Express Scripts Holding,94416.7,1312.9
25,Wells Fargo,91247,18897
26,Citigroup,90769,7541
27,Archer Daniels Midland,89038,1223
28,Procter &amp; Gamble,85120,10756
29,Prudential Financial,84838,469
30,Boeing,81698,3900
31,Freddie Mac,80635,10982
32,AmerisourceBergen,79720.5,719
33,Marathon Petroleum,76783,3389
34,Home Depot,74754,4535
35,Microsoft,73723,16978
36,Target,73301,2999
37,Walgreen,71633,2127
38,American International Group,70143,3438
39,INTL FCStone,69260.6,15
40,MetLife,68224,1324
41,Johnson &amp; Johnson,67224,10853
42,Caterpillar,65875,5681
43,PepsiCo,65492,6178
44,State Farm Insurance Cos.,65285.7,3159.2
45,ConocoPhillips,63373,8428
46,Comcast,62570,6203
47,WellPoint,61711.7,2655.5
48,Pfizer,61244,14570
49,Amazon.com,61093,-39
50,United Technologies,59783,5130
51,Dell,56940,2372
52,Dow Chemical,56786,1182
53,United Parcel Service,54127,807
54,Intel,53341,11005
55,Google,52203,10737
56,Lowe's,50521,1959
57,Coca-Cola,48017,9019
58,Merck,47267,6168
59,Lockheed Martin,47182,2745
60,Cisco Systems,46061,8041
61,Best Buy,45087,-441
62,Safeway,44206.5,596.5
63,FedEx,42680,2032
64,Enterprise Products Partners,42583.1,2419.9
65,Sysco,42380.9,1121.6
66,Walt Disney,42278,5682
67,Johnson Controls,41955,1226
68,Goldman Sachs Group,41664,7475
69,CHS,40599.3,1260.6
70,Abbott Laboratories,39873.9,5962.9
71,Sears Holdings,39854,-930
72,DuPont,39528,2788
73,Humana,39126,1222
74,World Fuel Services,38945.3,189.3
75,Hess,38373,2025
76,Ingram Micro,37827.3,305.9
77,Plains All American Pipeline,37797,1094
78,Honeywell International,37665,2926
79,United Continental Holdings,37152,-723
80,Oracle,37121,9981
81,Liberty Mutual Insurance Group,36944,829
82,HCA Holdings,36783,1605
83,Delta Air Lines,36670,1009
84,Aetna,36595.9,1657.9
85,Deere,36157.1,3064.7
86,Supervalu,36100,-1040
87,Sprint Nextel,35345,-4326
88,Mondel&#275;z International,35015,3028
89,New York Life Insurance,34308.6,1333.2
90,American Express,33808,4482
91,News Corp.,33706,1179
92,Allstate,33315,2306
93,Tyson Foods,33278,583
94,Massachusetts Mutual Life Insurance,32872.2,1114.6
95,Tesoro,32484,743
96,Morgan Stanley,32355,68
97,TIAA-CREF,32156,2060
98,General Dynamics,31513,-332
99,Philip Morris International,31377,8800
100,Nationwide,30356.3,748.5
101,3M,29904,4444
102,DirecTV,29740,2949
103,Cigna,29119,1623
104,Murphy Oil,28776.4,970.9
105,Time Warner,28729,3019
106,Halliburton,28503,2635
107,International Paper,27833,794
108,Publix Super Markets,27706.8,1552.3
109,Macy's,27686,1335
110,Fluor,27577.1,456.3
111,McDonald's,27567,5464.8
112,Hartford Financial Services Group,26412,-38
113,Rite Aid,26121.2,-368.6
114,Northwestern Mutual,25957,783
115,TJX,25878.4,1906.7
116,Travelers Cos.,25740,2473
117,Avnet,25707.5,567
118,Aflac,25364,2866
119,Tech Data,25361,214.6
120,Northrop Grumman,25218,1978
121,AMR,24855,-1876
122,Staples,24671.9,-210.7
123,Emerson Electric,24507,1968
124,Raytheon,24414,1888
125,Occidental Petroleum,24253,4598
126,Nike,24128,2223
127,Capital One Financial,23771,3517
128,Alcoa,23700,191
129,Exelon,23489,1160
130,Eli Lilly,22603.4,4088.6
131,Xerox,22390,1195
132,U.S. Bancorp,22202,5647
133,EMC,21713.9,2732.6
134,Time Warner Cable,21386,2155
135,Baker Hughes,21361,1311
136,Kimberly-Clark,21063,1750
137,Goodyear Tire &amp; Rubber,20992,212
138,Union Pacific,20926,3943
139,United Services Automobile Assn.,20728.6,2832.3
140,ManpowerGroup,20678,197.6
141,Arrow Electronics,20405.1,506.3
142,PBF Energy,20138.7,2
143,HollyFrontier,20090.7,1727.2
144,National Oilwell Varco,20041,2491
145,Duke Energy,19624,1768
146,Nucor,19429.3,504.6
147,United States Steel,19328,-124
148,Kohl's,19279,986
149,Qualcomm,19121,6109
150,CenturyLink,18376,777
151,Kraft Foods Group,18339,1642
152,Danaher,18270.3,2392.2
153,AES,18207,-912
154,Whirlpool,18143,401
155,Illinois Tool Works,18066,2870
156,Freeport-McMoRan Copper &amp; Gold,18010,3041
157,Global Partners,17626,45.5
158,Bristol-Myers Squibb,17621,1960
159,Altria Group,17500,4180
160,Cummins,17334,1645
161,Energy Transfer Equity,17288,302
162,Amgen,17265,4345
163,Jabil Circuit,17151.9,394.7
164,Southwest Airlines,17088,421
165,Colgate-Palmolive,17085,2472
166,Progressive,17083.9,902.3
