rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/496.html	Exxon Mobil(XOM)
2	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1551.html	Wal-Mart Stores(WMT)
3	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/563.html	General Motors(GM)
4	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/290.html	Chevron(CVX)
5	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/529.html	Ford Motor(F)
6	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1050.html	ConocoPhillips(COP)
7	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/561.html	General Electric(GE)
8	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/309.html	Citigroup(C)
9	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/88.html	American Intl. Group(AIG)
10	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/676.html	Intl. Business Machines(IBM)
11	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/625.html	Hewlett-Packard(HPQ)
12	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/164.html	Bank of America Corp.(BAC)
13	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/194.html	Berkshire Hathaway(BRKA)
14	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1366.html	Home Depot(HD)
15	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1521.html	Valero Energy(VLO)
16	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/850.html	McKesson(MCK)
17	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1871.html	J.P. Morgan Chase &amp; Co.(JPM)
18	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1525.html	Verizon Communications(VZ)
19	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/257.html	Cardinal Health(CAH)
20	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1047.html	Altria Group(MO)
21	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1370.html	Kroger(KR)
22	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1270.html	State Farm Insurance Cos
23	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1518.html	Marathon Oil(MRO)
24	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1389.html	Procter &amp; Gamble(PG)
25	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/406.html	Dell(DELL)
26	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1344.html	Boeing(BA)
27	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/95.html	AmerisourceBergen(ABC)
28	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/371.html	Costco Wholesale(COST)
29	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1310.html	Target(TGT)
30	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/905.html	Morgan Stanley(MS)
31	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1042.html	Pfizer(PFE)
32	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/716.html	Johnson &amp; Johnson(JNJ)
33	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/749.html	Sears Holdings(SHLD)
34	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/865.html	Merrill Lynch(MER)
35	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1886.html	MetLife(MET)
36	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1357.html	Dow Chemical(DOW)
37	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1499.html	UnitedHealth Group(UNH)
38	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/111.html	Wellpoint(WLP)
39	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1182.html	AT&amp;T(T)
40	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1619.html	Time Warner(TWX)
41	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/575.html	Goldman Sachs Group(GS)
42	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/804.html	Lowe's(LOW)
43	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1498.html	United Technologies(UTX)
44	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1493.html	United Parcel Service(UPS)
45	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1549.html	Walgreen(WAG)
46	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1561.html	Wells Fargo(WFC)
47	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/50.html	Albertson's(ABS)
48	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/879.html	Microsoft(MSFT)
49	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/672.html	Intel(INTC)
50	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1165.html	Safeway(SWY)
51	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/3774.html	Medco Health Solutions(MHS)
52	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/799.html	Lockheed Martin(LMT)
53	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/387.html	CVS(CVS)
54	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/907.html	Motorola(MOT)
55	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/265.html	Caterpillar(CAT)
56	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/120.html	Archer Daniels Midland(ADM)
57	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/513.html	Wachovia Corp.(WB)
58	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1336.html	Allstate(ALL)
59	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1258.html	Sprint Nextel(S)
60	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/258.html	Caremark Rx(CMX)
61	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1033.html	PepsiCo(PEP)
62	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/780.html	Lehman Brothers(LEH)
63	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1416.html	Walt Disney(DIS)
64	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1893.html	Prudential Financial(PRU)
65	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/2179.html	Plains All Amer. Pipeline(PAA)
66	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1294.html	Sunoco(SUN)
67	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/965.html	Northrop Grumman(NOC)
68	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1303.html	Sysco(SYY)
69	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/80.html	American Express(AXP)
70	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/502.html	FedEx(FDX)
71	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/634.html	Honeywell Intl.(HON)
72	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/668.html	Ingram Micro(IM)
73	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/451.html	DuPont(DD)
74	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/937.html	New York Life Insurance
75	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/717.html	Johnson Controls(JCI)
76	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/196.html	Best Buy(BBY)
77	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1783.html	Delphi(DPHIQ)
78	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/610.html	Hartford Financial Services(HIG)
79	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/52.html	Alcoa(AA)
80	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1465.html	Tyson Foods(TSN)
81	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1312.html	TIAA-CREF
82	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/680.html	International Paper(IP)
83	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/307.html	Cisco Systems(CSCO)
84	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1636.html	HCA(HCA)
85	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1402.html	St. Paul Travelers Cos.(STA)
86	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1381.html	News Corp.(NWS)
87	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/501.html	Federated Dept. Stores(FD)
88	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/70.html	Amerada Hess(AHC)
89	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1351.html	Coca-Cola(KO)
90	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1571.html	Weyerhaeuser(WY)
91	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1752.html	Aetna(AET)
92	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/839.html	Mass. Mutual Life Ins.
93	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/10.html	Abbott Laboratories(ABT)
94	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/329.html	Comcast(CMCSK)
95	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/858.html	Merck(MRK)
96	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/402.html	Deere(DE)
97	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/1109.html	Raytheon(RTN)
98	http://money.cnn.com/magazines/fortune/fortune500/2006/snapshots/925.html	Nationwide
